X	Y	Species	Type	Diam	Height
1.3	1.78	Other	Adult	10.7	13.6
3.59	0.99	Other	Adult	23.5	18.8
1.81	2.35	Other	Adult	14.8	14.8
2.3	4.41	Other	Adult	14.1	13.9
2.12	5.29	Trembling_Aspen	Adult	13.3	15
1.87	6.23	Other	Adult	14	10.9
1.01	9.31	Trembling_Aspen	Adult	17.2	14.7
1.82	9.34	Other	Adult	16.1	12.3
4.3	9.5	Other	Adult	11.2	14.2
5.09	9.86	Other	Adult	15.7	15.7
4.56	7.37	Other	Adult	17.4	16.8
5.38	7.4	Other	Adult	18	18.2
6.09	9.12	Other	Adult	12.4	14
9.3	9.9	Other	Adult	14.6	15
8.69	8.7	Other	Adult	13.9	14.2
5.38	6.05	Other	Adult	14.4	16.6
7.94	4.28	Other	Adult	15.3	14.1
6.1	3.82	Jack_Pine	Adult	25.2	16.9
6.43	1.66	Other	Adult	13.2	14.4
8.25	2.07	Other	Adult	16.8	16.9
7.94	17.02	Other	Adult	16.6	16.4
6.76	17.18	Other	Adult	16.7	18.2
5.51	17.24	Other	Adult	11.9	14.8
5.08	17.73	Other	Adult	17	17
3.5	17.46	Other	Adult	16.4	15
0.06	18.07	Other	Adult	20.1	17.8
2.93	14.48	Other	Adult	11.9	14.6
3.86	14.26	Other	Adult	16.8	16.5
4.26	11.74	Other	Adult	21	18.3
0.2	13.16	Other	Adult	21.1	17
1.04	12.57	Other	Adult	19.1	18.4
1.93	10.86	Other	Adult	10.4	12.8
0.98	20.94	Other	Adult	18.1	17.4
4.92	22.1	Paper_Birch	Adult	14.1	13.5
1.4	25.88	Other	Adult	17.6	16.9
3.97	29.1	Other	Adult	11.7	12.6
3.38	27.09	Other	Adult	11	12.7
4.34	27.15	Other	Adult	12.4	11.8
5.95	27.97	Other	Adult	14.7	16.1
4.89	26.01	Other	Adult	22.9	19.8
9.75	29.15	Other	Adult	16.7	16.7
9.79	26.98	Other	Adult	17.8	17.3
9.4	26.27	Other	Adult	13.8	14.5
8.95	24.64	Other	Adult	14.9	13.3
8.21	22.38	Other	Adult	15.8	16.3
5.96	20.7	Other	Adult	19.2	16
9.93	21.36	Other	Adult	11.7	13.4
9.56	20.6	Other	Adult	23.1	20
8.19	32.73	Other	Adult	23.1	20.2
9.76	35.45	Other	Adult	14.7	16.1
8.72	37.23	Other	Adult	15.6	12.5
8.66	37.83	Other	Adult	19.2	18.8
6.22	38.89	Other	Adult	18.2	18.3
3.09	37.07	Other	Adult	18.8	19.8
2.85	37.64	Other	Adult	14.3	16.5
3.28	39.18	Other	Adult	18.9	18.5
1.57	38.61	Trembling_Aspen	Adult	14.5	16.2
0.24	39.3	Other	Adult	15.9	15.7
5.34	35.37	Other	Adult	15.9	16
1.24	32.71	Other	Adult	21.1	17.2
1.63	40.23	Other	Adult	13.2	12
2.57	42.11	Other	Adult	17.3	19.1
2.61	41.97	Other	Adult	11.9	14.9
3.13	41.78	Other	Adult	12.9	15.5
4.04	43.73	Other	Adult	20.3	18.4
0.57	43.96	Other	Adult	17.2	18.1
0.25	44.64	Other	Adult	14.6	15.6
2.06	45.64	Other	Adult	14.9	18
2.12	47.62	Other	Adult	12.6	14.5
0.15	46.66	Other	Adult	13.6	15.3
1.25	48.81	Other	Adult	16.1	15
3.82	49.54	Other	Adult	13.3	14.6
7.97	49.75	Other	Adult	13.5	12.6
8.67	49.62	Other	Adult	13.3	15.4
7.22	48.12	Trembling_Aspen	Adult	16.5	15.4
7.05	46.4	Other	Adult	18.5	16.4
7.15	43.9	Other	Adult	14.4	16.6
9	42.55	Other	Adult	11.9	15.3
8.69	41.22	Other	Adult	11.9	12.2
13.59	2.08	Other	Adult	24.8	19.1
14.62	0.77	Other	Adult	16.2	16.6
11.46	8.78	Other	Adult	19.5	16
15.65	9.39	Other	Adult	19.3	18.6
17.5	6.02	Other	Adult	19.3	16.8
16.54	4.91	Other	Adult	18.9	17.6
16.73	3.94	Other	Adult	19.8	19
18.38	3.83	Other	Adult	14.9	14.4
17.89	2.17	Other	Adult	20.2	20.2
19.33	2.82	Other	Adult	11	14.2
19.74	0.47	Other	Adult	16.8	18.4
