X	Y	Species	Type	Diam	Height
1.22	1.32	Other	Adult	18.6	16.2
0.35	3.3	Other	Adult	20.4	15.9
3.14	5.12	Other	Adult	17.5	15.6
5.26	4.77	Other	Adult	16.8	15.3
0.07	8	Other	Adult	20.8	17.3
1.62	8.73	Balsam_Fir	Adult	15.3	9.9
2.99	8.54	Other	Adult	19.3	14
4.47	8.86	Other	Adult	19.6	14.3
8.49	9.12	Other	Adult	16.7	14.4
7.89	7.59	Other	Adult	18.1	14.7
7.84	7.58	Other	Adult	18.7	17
8.7	5.98	Other	Adult	13.5	14.1
7.26	5.42	Other	Adult	14.2	14.8
6.36	4.52	Other	Adult	12.3	13.1
5.64	3.94	Other	Adult	17.2	15.2
5.44	2.98	Other	Adult	12.5	12.4
9.74	12.84	Other	Adult	20.2	16.1
6.81	10.73	Other	Adult	17.5	15.6
6.2	11.48	Other	Adult	13.8	13.8
6.27	12.93	Other	Adult	16.3	14.9
7.07	17.31	Balsam_Fir	Adult	10.7	7.8
6.05	18.36	Other	Adult	20.7	16.2
4.69	19.62	Other	Adult	13.2	12.5
3.27	18.65	Other	Adult	16.6	13.6
1.99	19	Other	Adult	14	13.8
1.54	19.33	Other	Adult	14.1	13.4
0.36	19.41	Other	Adult	14.7	13.4
1.3	15.69	Other	Adult	20	14.7
1.85	14.78	Other	Adult	15.9	14.8
3.86	16.74	Other	Adult	12.9	11.9
5.32	15.54	Other	Adult	10.9	9.7
6.02	14.15	Other	Adult	19.6	15.9
5.45	10.5	Other	Adult	15.4	14.1
3.6	12.22	Other	Adult	16.9	15.1
2.21	13.14	Other	Adult	17.8	15.2
1.02	13.5	Other	Adult	16.7	13.9
0.78	11.47	Other	Adult	17.3	14.2
1.43	21.98	Balsam_Fir	Adult	10.4	7.8
1.7	22.41	Other	Adult	23.1	18
2.18	21.15	Other	Adult	18.9	16.3
4.68	20.92	Other	Adult	13.6	12.2
5	22.84	Other	Adult	17.5	17
4.36	23.18	Other	Adult	15.3	15.5
3.63	24.32	Other	Adult	16.8	16.3
1.74	24.06	Other	Adult	17.9	16.6
0.56	24.13	Other	Adult	15.8	16
1.03	25.26	Other	Adult	18.9	17.8
2.93	25.57	Other	Adult	21.5	17.7
5.65	29.16	Other	Adult	21	17.2
9.62	29.79	Other	Adult	17.6	16.2
5.37	25.35	Other	Adult	16.7	16
6.91	24.12	Balsam_Fir	Adult	15.8	13.9
6	21.1	Balsam_Fir	Adult	12.2	12.6
7.88	21.67	Other	Adult	20.4	16.4
8.91	30.91	Other	Adult	15.7	16.8
9.68	31.73	Other	Adult	20	16.9
7.81	31.72	Other	Adult	17.9	16.8
7.3	33	Other	Adult	17.9	13.6
5.83	32.22	Other	Adult	20.6	15.2
5.81	32.94	Other	Adult	14.7	12.5
9.49	36	Other	Adult	24.2	18.1
6.24	35.82	Other	Adult	23	16.5
5.65	35.7	Other	Adult	16.2	12.9
5.46	36.8	Other	Adult	13	12.5
9.98	39.95	Other	Adult	19.6	15.4
5.11	38.84	Other	Adult	14.1	13.1
4.72	38.59	Other	Adult	15.9	14
4.59	38.88	Other	Adult	12.6	13.1
1.23	38.34	Other	Adult	17.7	15.5
1.66	38.98	Other	Adult	16.6	14.3
2.49	36.65	Other	Adult	14.3	12.8
1.47	37.35	Other	Adult	18.9	15.6
