X	Y	Species	Type	Diam	Height
1.3	1.78	Other	Adult	11	14
3.59	0.99	Other	Adult	24	19
1.81	2.35	Other	Adult	15.2	15.4
2.3	4.41	Other	Adult	14.5	14.3
2.12	5.29	Trembling_Aspen	Adult	13.9	15
1.01	9.31	Trembling_Aspen	Adult	17.3	14.5
1.82	9.34	Other	Adult	16.4	13
4.3	9.5	Other	Adult	11.6	14.7
5.09	9.86	Other	Adult	16.4	15.7
4.56	7.37	Other	Adult	17.7	17.3
5.38	7.4	Other	Adult	18.6	18
6.09	9.12	Other	Adult	12.6	14.5
9.3	9.9	Other	Adult	15.2	15.7
8.69	8.7	Other	Adult	14.3	14.5
5.38	6.05	Other	Adult	14.5	17.1
7.94	4.28	Other	Adult	15.9	14.6
6.1	3.82	Jack_Pine	Adult	26	17.2
6.43	1.66	Other	Adult	13.5	14
8.25	2.07	Other	Adult	17.5	17.3
7.94	17.02	Other	Adult	17.1	16.7
6.76	17.18	Other	Adult	17	18.2
5.51	17.24	Other	Adult	12	15.2
5.08	17.73	Other	Adult	17.9	17.5
3.5	17.46	Other	Adult	16.7	15.4
0.06	18.07	Other	Adult	20.6	17.8
2.93	14.48	Other	Adult	12.5	14.8
3.86	14.26	Other	Adult	17.3	16.7
2.78	13.33	Other	Adult	10	13.6
4.26	11.74	Other	Adult	21.8	18.3
0.2	13.16	Other	Adult	22	17.3
1.04	12.57	Other	Adult	19.6	19.1
1.93	10.86	Other	Adult	10.5	13.2
0.98	20.94	Other	Adult	18.8	17.9
4.92	22.1	Paper_Birch	Adult	14.3	13.5
1.4	25.88	Other	Adult	18.4	17.9
3.97	29.1	Other	Adult	12.8	13.6
3.38	27.09	Other	Adult	11.6	13.3
4.34	27.15	Other	Adult	12.8	12.1
5.95	27.97	Other	Adult	15.6	16.5
4.89	26.01	Other	Adult	23.6	20.8
9.75	29.15	Other	Adult	17.3	17.1
9.79	26.98	Other	Adult	18.3	17.8
9.4	26.27	Other	Adult	14.2	14.9
8.95	24.64	Other	Adult	15.3	13.4
8.21	22.38	Other	Adult	16.3	16.9
5.96	20.7	Other	Adult	19.8	16.4
9.93	21.36	Other	Adult	11.9	13.4
9.56	20.6	Other	Adult	23.7	20.4
8.19	32.73	Other	Adult	23.8	20.6
9.6	34.67	Other	Adult	10	12.1
9.76	35.45	Other	Adult	15.1	16.1
8.66	37.83	Other	Adult	19.9	18.8
6.22	38.89	Other	Adult	19.4	18.6
3.09	37.07	Other	Adult	19.3	19.1
2.85	37.64	Other	Adult	14.9	16.7
3.28	39.18	Other	Adult	19.1	18.5
1.57	38.61	Trembling_Aspen	Adult	15.2	16.8
0.24	39.3	Other	Adult	16.4	17.3
5.34	35.37	Other	Adult	16.4	16.1
1.24	32.71	Other	Adult	21.9	17.2
1.63	40.23	Other	Adult	13.3	12.3
2.57	42.11	Other	Adult	17.9	19.3
2.61	41.97	Other	Adult	12.2	14.9
3.13	41.78	Other	Adult	13.5	15.6
4.04	43.73	Other	Adult	21	18.4
0.57	43.96	Other	Adult	17.8	17.6
0.25	44.64	Other	Adult	15.1	15.7
2.06	45.64	Other	Adult	15.4	16.5
2.12	47.62	Other	Adult	13.4	14.9
0.15	46.66	Other	Adult	14	15.3
1.25	48.81	Other	Adult	16.6	15
3.82	49.54	Other	Adult	13.9	15.2
7.97	49.75	Other	Adult	13.6	12.6
8.67	49.62	Other	Adult	13.7	15.4
7.22	48.12	Trembling_Aspen	Adult	17.2	17
7.05	46.4	Other	Adult	19.6	16.5
9	42.55	Other	Adult	12.5	15.3
8.69	41.22	Other	Adult	12.2	12.6
13.59	2.08	Other	Adult	25.7	20.8
14.62	0.77	Other	Adult	16.5	17.4
11.46	8.78	Other	Adult	20.5	16.8
15.65	9.39	Other	Adult	19.6	18.9
17.5	6.02	Other	Adult	19.6	17.3
16.54	4.91	Other	Adult	19.8	18.2
16.73	3.94	Other	Adult	20.3	19.2
18.38	3.83	Other	Adult	15.4	14.5
17.89	2.17	Other	Adult	20.9	20.8
19.33	2.82	Other	Adult	11.5	14.7
19.74	0.47	Other	Adult	17.2	18.4
18.89	10.56	Other	Adult	15.4	16.3
17.9	11.04	Other	Adult	23.3	18
14.81	11.82	Other	Adult	15.8	13.3
14.43	12.23	Trembling_Aspen	Adult	16.5	16.8
17.5	13.5	Other	Adult	14.5	15.8
18.78	14.93	Other	Adult	22.5	20.1
15.12	14.4	Other	Adult	13.4	15.2
19.23	17.59	Other	Adult	23.7	19.9
16.27	18.98	Other	Adult	13.2	13.2
15.84	19.61	Other	Adult	18.3	19.3
14.12	17.48	Other	Adult	18.7	19.6
11.74	17.93	Other	Adult	19.2	17.8
10.09	15.67	Other	Adult	17.8	17
12.52	14.86	Other	Adult	18	18
13.33	14.1	Other	Adult	11.3	14.4
12.63	13.23	Other	Adult	21.6	18.1
10.92	11.73	Other	Adult	19.4	19.2
10.89	20.34	Other	Adult	10.8	13.9
12.17	20.37	Other	Adult	11.9	13.8
13.71	20.31	Other	Adult	17.3	17.3
13.97	22.81	Other	Adult	21.7	17.9
10.94	24.07	Other	Adult	22.6	18.2
10.64	26.59	Other	Adult	10.2	11.8
10.44	28.2	Trembling_Aspen	Adult	19.3	16.9
12.18	29.86	Other	Adult	12.7	13.9
13.41	28.47	Other	Adult	23.4	18.6
14.21	26.81	Other	Adult	15.6	15.3
16.63	26.88	Other	Adult	18.5	17.4
16.25	29.72	Other	Adult	20	18.3
18.52	27.05	Other	Adult	18.4	18.1
19.77	24.15	Other	Adult	13.2	14.2
18.64	23.21	Other	Adult	16.8	16.4
16.21	20.22	Other	Adult	15.2	15.7
19.26	32.03	Other	Adult	14.1	15.7
17.93	32.05	Other	Adult	18.8	16.6
15.73	31.9	Other	Adult	17.6	18.2
16.99	32.98	Other	Adult	18.1	16.7
17.73	33.48	Other	Adult	17.9	17.2
17.19	34.73	Other	Adult	12.8	15.2
16.42	33.86	Other	Adult	11.6	13.6
19.88	36.71	Other	Adult	21.2	18.7
17.08	38.53	Other	Adult	15	13.9
15.44	39.69	Other	Adult	16.2	17.1
14.63	37.6	Other	Adult	15.8	17.1
14.06	38.48	Other	Adult	14.1	14.7
13.24	36.51	Other	Adult	18	18.6
12.52	35.82	Other	Adult	15	16.6
11.42	35.66	Other	Adult	15.3	13.7
10.35	33.36	Other	Adult	15	16.1
11.19	33.85	Other	Adult	14.4	13.2
13.14	31.59	Other	Adult	12.3	13.6
11.7	32.25	Other	Adult	20.8	19.2
10.68	40.63	Other	Adult	12.8	13.7
11.26	42.51	Other	Adult	19.9	18.5
10.03	44.1	Other	Adult	19.4	18.5
13.12	42.88	Other	Adult	15.4	16.2
14.17	43.2	Other	Adult	14.7	16.8
14.45	43.33	Other	Adult	20.3	16.4
13.88	46.24	Other	Adult	19.5	16
11.09	46.83	Other	Adult	17.1	16.3
14.58	47.98	Other	Adult	17.4	15.2
15.74	48.79	Other	Adult	16.8	14.1
18.74	49.55	Other	Adult	18.9	17.6
19.52	48.06	White_Spruce	Adult	10.4	11.2
17.42	46.4	Other	Adult	21.5	20.6
18.1	42.44	Other	Adult	18.3	17.1
21.07	1.19	Other	Adult	16.9	16.2
20.64	1.46	Other	Adult	15	16.3
25.47	1.66	Other	Adult	18.2	18.3
24.07	4.73	Trembling_Aspen	Adult	13.2	15.2
23.48	4.83	Other	Adult	11.5	14.1
21.55	5.03	Other	Adult	12.7	12.6
20.07	6.98	Other	Adult	15.9	16.6
22.26	7.26	Other	Adult	14.2	15.7
22.66	9.56	Other	Adult	16.3	17.2
23.6	8.77	Other	Adult	20.4	17.5
28.3	8.29	Other	Adult	19.7	18
25.82	6.01	Other	Adult	13.3	15.8
28.4	6.23	Other	Adult	16.3	17.1
28.61	4.72	Other	Adult	13.3	15.7
28.35	3.82	Other	Adult	18	17.3
26.14	4.21	Other	Adult	17.8	18.8
26.33	3.14	Other	Adult	17.7	16.8
26.2	10.53	Other	Adult	19.7	16.9
28.26	11.36	Other	Adult	14.6	15.1
28.75	13.09	Other	Adult	16.7	16.3
29.46	14.03	Other	Adult	10.7	11.8
26.15	14.7	Other	Adult	16.3	16.5
27.34	16.26	Other	Adult	21.7	16.8
27.15	17.47	Other	Adult	17.4	16.7
23.53	19.12	Other	Adult	16.8	15.5
24.6	17.22	Other	Adult	14.3	15
22.67	15.59	Other	Adult	15.3	15.4
20.77	15.01	Other	Adult	15.9	16.3
23.29	12.92	Other	Adult	24.6	19.5
20.8	21.93	Other	Adult	15	17.7
22.88	22.06	Other	Adult	15.2	14.6
25.91	22.11	Other	Adult	12.5	12.3
24.45	24.26	Other	Adult	10.7	13.3
22.49	26.86	Other	Adult	17.4	19
20.39	29.76	Other	Adult	13.1	15.4
21.98	28.62	Other	Adult	11.8	15.1
23.2	29.4	Other	Adult	21	16.5
24.13	26.81	Other	Adult	11.4	13.9
28.97	27.44	Other	Adult	16.6	17.9
29.9	27.72	Other	Adult	13.2	15.4
29.08	25.27	Other	Adult	21.9	19.5
27.73	25.86	Other	Adult	19.4	17.2
27.67	23.54	Other	Adult	18.1	16.9
27.68	22.79	Trembling_Aspen	Adult	21.5	16.9
29.29	30.26	Other	Adult	11.2	14
26.95	34.59	Other	Adult	12.2	14.5
26.91	37.09	Other	Adult	10.2	11
28.69	36.81	Other	Adult	14.2	14.4
28.6	39.75	Other	Adult	18.1	17.3
25.87	38.64	Other	Adult	14.8	15.5
24.46	36.55	Other	Adult	13.6	13.7
23.25	38.42	Other	Adult	17.4	17.8
22.08	39.1	Other	Adult	19.2	18.5
21.06	37.55	Other	Adult	19.9	17.9
21.86	35.28	Other	Adult	14.9	16.4
22.83	35.1	Other	Adult	13.6	15.6
23.45	35.37	Other	Adult	13.4	16.1
24.03	31.31	Other	Adult	17.5	17
22.56	40.2	Other	Adult	14.9	15.7
22.87	42.6	Other	Adult	22.4	19.9
25.57	41.76	Other	Adult	15.6	17.2
25.56	42.17	Other	Adult	14.7	16.6
23.48	43.73	Trembling_Aspen	Adult	21.2	14.6
24.04	45.84	Other	Adult	15.2	13.5
21.54	47.49	Other	Adult	21.3	15.8
28.53	46	Other	Adult	22.6	17.7
26.92	43.15	Other	Adult	19.9	19.8
27.14	42.29	Other	Adult	10.1	12.4
31.41	0.52	Other	Adult	13.7	11.5
33.52	0.48	Other	Adult	17.8	18.3
34.34	2.37	Other	Adult	21.1	17.9
36.11	5.22	Other	Adult	17.1	17.1
34.66	5.94	Other	Adult	21.1	16.3
33.44	5.16	Other	Adult	15.7	15.7
33.47	6.72	Other	Adult	22	17.9
33.51	7.41	Trembling_Aspen	Adult	11.8	15.3
31.22	8.21	Other	Adult	15.6	15.6
39.05	8.3	Other	Adult	12.9	13.9
39.86	2	Other	Adult	17	15
38.18	11	Other	Adult	13.4	14.3
36.35	10.22	Other	Adult	20.5	16.6
34.97	12.8	Other	Adult	13	16.1
37.43	12.58	Other	Adult	16.9	16.3
37.16	12.88	Trembling_Aspen	Adult	18.7	17.1
39.02	13.89	Other	Adult	18.6	17.1
38.26	14.65	Other	Adult	14	15.6
39.12	15.55	Other	Adult	12.8	13.7
38.13	18.27	Other	Adult	15.9	16.3
37.42	18.87	Other	Adult	12.9	14
36.48	17.51	Other	Adult	15.1	16.5
35.8	18.13	Other	Adult	13.8	13.8
31.57	15.74	Other	Adult	17.8	16.3
33.73	14.72	Other	Adult	15.8	15.3
32.54	13.98	Balsam_Fir	Adult	13.4	15.3
30.64	12.75	Other	Adult	23.5	17.7
33.1	10.29	Other	Adult	14.9	14.7
30.92	21.08	Other	Adult	18.3	17.1
32.54	21.68	Other	Adult	18.6	16.6
34.91	21.53	Other	Adult	15.7	16.6
34.21	23.16	Other	Adult	21.4	18
30.24	23.87	Other	Adult	10.5	13.3
33.72	26.13	Other	Adult	16	16.6
32.09	28.31	Other	Adult	19.9	16.6
30.49	29.81	Other	Adult	20.2	17.5
33.32	29.29	Other	Adult	12.1	14.6
35.21	29.94	Other	Adult	18.9	17.3
34.92	27.56	Other	Adult	15.6	15.3
38.29	29.03	Other	Adult	11	12.5
39.31	29.1	Other	Adult	15.5	12.5
35.7	24.74	Other	Adult	13.3	14.3
37.61	23.12	Other	Adult	11.9	11.9
38.03	20.6	Other	Adult	18	17
36.28	34.8	Other	Adult	10.8	14.6
38.2	31.96	Trembling_Aspen	Adult	14.7	16
37.2	32.05	Other	Adult	12.3	13.8
37.39	34.03	Other	Adult	15.1	15.2
35.09	34.12	Paper_Birch	Adult	10.4	12.7
34.92	36.14	Other	Adult	18	17.7
36.03	36.79	Other	Adult	27.3	21.4
39.14	37.46	Other	Adult	19.3	16.7
34.21	39.04	Other	Adult	11.3	13
33.06	38.74	Other	Adult	17.8	15.9
32.54	37.63	Other	Adult	16.2	17.3
30.3	37.26	Other	Adult	16.9	16.2
30.72	35.92	Other	Adult	20.9	18.9
32.11	32.83	Other	Adult	15.3	15.8
32.15	32.51	Other	Adult	18.2	17.8
33.41	30.93	Other	Adult	15	16.7
32.3	30	Paper_Birch	Adult	12.9	14.1
31.05	40.34	Other	Adult	13.4	15.6
30.26	42.08	Other	Adult	24.7	20.2
32.31	42.56	Other	Adult	15.5	16.6
33.75	44.09	Trembling_Aspen	Adult	11.8	15.1
35.56	44.72	Other	Adult	18.8	17.4
34.59	46.59	Other	Adult	12.3	14.2
32.93	47.03	Other	Adult	22.9	18.8
31.28	46.3	Other	Adult	21.5	19.2
32.05	49.51	Balsam_Fir	Adult	15.3	14.8
37.25	49.58	Other	Adult	12.2	13.7
39.3	45.75	Other	Adult	15.1	13.3
37.13	43.83	Other	Adult	15.2	15.6
36.43	42.51	Other	Adult	17.3	14.9
35.56	40.31	Trembling_Aspen	Adult	13	15.5
39.83	40.93	Other	Adult	20.4	18.1
42.74	1.16	Other	Adult	19.9	18.3
45.08	1.57	Other	Adult	20.1	16.7
45.44	4	Other	Adult	18.6	18.5
43.56	5.72	Other	Adult	17.1	16.2
42.36	5.56	Other	Adult	21.4	19.7
42.03	6.73	Other	Adult	14.9	15.5
40.55	6.55	Other	Adult	13.8	14.8
44.25	7.68	Other	Adult	13	15.6
45.95	8.2	Other	Adult	17.5	18.1
46.68	6.15	Other	Adult	11.4	13.4
46.96	5.15	Other	Adult	11.7	10.8
49.31	4.58	Other	Adult	14.4	15.1
46.82	1.45	Trembling_Aspen	Adult	16.2	16.3
47.2	1.53	Other	Adult	12.6	11.6
49.27	12.28	Other	Adult	22.9	17.6
49.18	12.54	Other	Adult	12.2	12
49.66	14.19	Other	Adult	15.2	15.9
47.23	17.23	Other	Adult	22.4	19.3
48.74	17.16	Other	Adult	22.5	18.2
44.77	19.41	Paper_Birch	Adult	11.9	13.9
41.69	16.02	Other	Adult	12.8	14.3
43.59	15.18	Other	Adult	15.9	16.9
43.64	15.55	Other	Adult	17.5	16.3
43.92	13.77	Other	Adult	15.5	16.3
41.71	13.81	Other	Adult	16.8	17.4
42.2	12.31	Other	Adult	12.6	14.4
43.66	10.53	Other	Adult	17.6	18.4
42.59	10.39	Other	Adult	23.7	21.5
40.44	21.94	Other	Adult	18.5	17.2
44.64	20.39	Other	Adult	17.4	16.4
43.18	23.18	Other	Adult	20	17.3
43.73	25.2	Other	Adult	16.2	14.5
40.45	25.12	Other	Adult	22.1	18.7
40.67	28.37	Trembling_Aspen	Adult	12.3	14.4
41.88	29.16	Other	Adult	19.3	17.9
45.9	28.08	Other	Adult	11.7	15.3
47.01	29.11	Other	Adult	23.4	19.9
46.04	25.93	Other	Adult	15.8	16.4
48.93	26.42	Other	Adult	21.2	17.9
49.83	23.81	Other	Adult	21.5	19.8
46.89	22.7	Paper_Birch	Adult	14.5	16.5
47.57	20.95	Other	Adult	20.9	18.5
48.11	20.61	Trembling_Aspen	Adult	16.2	17
48.84	20.2	Other	Adult	14.5	13.2
46.49	31.67	Other	Adult	10.8	13.7
44.53	31.25	Other	Adult	20.8	17.5
44.78	32.29	Other	Adult	12.3	15.4
46.57	33.4	Other	Adult	19.7	17.7
49.5	34.59	Other	Adult	13.9	14.7
47.99	36.89	Paper_Birch	Adult	12.4	12.7
47.39	36.84	Trembling_Aspen	Adult	11.6	11.9
47.66	37.61	Other	Adult	12.8	13.4
49.02	39.57	Other	Adult	17.2	18
