X	Y	Species	Type	Diam	Height
0.2	6.75	Sugar_Maple	Adult	39.3	24
6	8.29	Sugar_Maple	Adult	13	12.9
8.59	6.04	Sugar_Maple	Adult	29.7	20.1
7.78	5.1	Sugar_Maple	Adult	14.4	14.6
9.12	2.12	Sugar_Maple	Adult	24.9	20.3
9.44	2.64	Sugar_Maple	Adult	35.8	19.5
9.26	12.12	Other	Adult	45.3	22.5
6.56	26.92	Other	Adult	25.3	19.5
2.77	25.1	Sugar_Maple	Adult	13.9	16
2.23	28.2	Sugar_Maple	Adult	50	23.7
0.43	23.22	Sugar_Maple	Adult	12.9	11.8
7.45	36.52	Sugar_Maple	Adult	36	22.3
5.99	33.82	Sugar_Maple	Adult	33.6	22
5.31	33.75	Sugar_Maple	Adult	21.6	20
0.97	35.67	Sugar_Maple	Adult	28.3	21.8
1.67	37.63	Sugar_Maple	Adult	36.4	24.4
0.79	45.57	Sugar_Maple	Adult	30.6	22.3
8.02	45.28	Other	Adult	35.6	22.9
5.75	44.97	Sugar_Maple	Adult	12	15.4
9.4	48.98	Sugar_Maple	Adult	27.2	21.4
7.03	49.97	Sugar_Maple	Adult	10.1	11.7
19	3.54	Red_Maple	Adult	17.3	17.8
15.33	19.85	Red_Maple	Adult	19	16.9
19.64	17.64	Sugar_Maple	Adult	31.3	22.4
19.74	13.18	Sugar_Maple	Adult	45.9	23.4
11.02	21.66	Sugar_Maple	Adult	33	18.3
18.6	27.75	Yellow_Birch	Adult	27.3	22.1
14.46	33.21	Other	Adult	36.8	20.4
13.06	38.14	Sugar_Maple	Adult	27.6	20.8
11.64	44.23	Sugar_Maple	Adult	30.7	20.2
10.01	49.3	Other	Adult	19	18.5
12.86	47.52	Other	Adult	13.5	17
15.63	41.56	Sugar_Maple	Adult	45.3	22.5
21.85	1.32	Other	Adult	23	19.7
28.43	1.07	Other	Adult	17.4	15.2
29.65	2.22	Other	Adult	33.6	24.6
23.55	6.19	Red_Maple	Adult	13.4	14.5
22.71	9.78	Red_Maple	Adult	26	18.3
26.58	8.86	Other	Adult	28	19
25.78	7.61	Sugar_Maple	Adult	24.8	21.1
20.64	13.68	Yellow_Birch	Adult	18.6	14
25.25	17.92	Sugar_Maple	Adult	22.9	20
28.92	15.9	Other	Adult	44.4	23.3
24.55	12.64	Sugar_Maple	Adult	41.6	22.2
23.83	26.27	Other	Adult	37.5	24.5
21.67	26.39	Sugar_Maple	Adult	11.7	13.5
20.13	24.8	Other	Adult	46.7	24.5
23.65	22.13	Other	Adult	17	16.6
28.14	37.63	Other	Adult	25.1	23.5
24.21	34.03	Sugar_Maple	Adult	47.5	26
22.52	46.78	Sugar_Maple	Adult	39.4	22.3
23.13	48.63	Yellow_Birch	Adult	13.2	13.8
27.27	46.19	Sugar_Maple	Adult	10.5	11.7
27.39	42.73	Sugar_Maple	Adult	21.7	20.2
29.8	42.51	Other	Adult	10.7	12
31.32	4.09	Other	Adult	13.3	17.4
30.33	6.59	Other	Adult	30.3	22.4
31.17	7.83	Other	Adult	10.1	9.5
37.16	4.67	Other	Adult	41.5	23
31.08	13.13	Other	Adult	35.7	22.5
33.51	14.61	Other	Adult	31.7	22.5
38.54	20	Sugar_Maple	Adult	32.8	24
