X	Y	Species	Type	Diam	Height
3.46	2.76	Sugar_Maple	Adult	11.8	8.6
2.63	7	Paper_Birch	Adult	30.1	20.1
2.99	7.46	Other	Adult	20.3	21.4
7.04	6.95	Sugar_Maple	Adult	20.7	23
7.47	3.79	Sugar_Maple	Adult	20.8	24.3
3.45	2.89	Sugar_Maple	Adult	12	18.4
4.56	0.84	Sugar_Maple	Adult	17.7	23.2
4.74	1.03	Sugar_Maple	Adult	12.3	16.3
2.01	10	Sugar_Maple	Adult	26	22.8
2.81	12.92	Sugar_Maple	Adult	11	16.8
0	15.53	Sugar_Maple	Adult	13.1	20
0.25	19.4	Sugar_Maple	Adult	39.3	28.8
6.82	19.68	Sugar_Maple	Adult	19.2	22.4
7.68	16.03	Sugar_Maple	Adult	11.3	14.5
6.53	16.28	Sugar_Maple	Adult	24.7	26.8
4.78	12.05	Other	Adult	27.1	28.9
9.25	21.02	Other	Adult	30.9	27.8
5.74	20.38	Sugar_Maple	Adult	23.1	24.1
7.95	29.35	Sugar_Maple	Adult	35.3	27.3
1.02	27.77	Other	Adult	21.4	27
3.66	24.24	Sugar_Maple	Adult	35.4	23
0.02	32.73	Other	Adult	19	18
4.2	32.84	Sugar_Maple	Adult	21.9	23.8
1.05	37.38	Other	Adult	25.5	27.4
7.65	38.79	Sugar_Maple	Adult	18.3	25
9.27	33.9	Sugar_Maple	Adult	21.9	27.5
8.38	32.53	Sugar_Maple	Adult	18.5	21.6
0.91	42.19	Sugar_Maple	Adult	12.5	18.5
4.07	41.75	Other	Adult	24.6	24.3
1.1	44.15	Sugar_Maple	Adult	12.3	16.8
3.29	48.61	Sugar_Maple	Adult	29.5	21.6
6.82	41.49	Other	Adult	36.8	25.7
11.21	2.87	Sugar_Maple	Adult	29.1	26
11.28	3.11	Sugar_Maple	Adult	15	19.4
16.79	7.48	Other	Adult	29.9	26.9
19.41	8.6	Sugar_Maple	Adult	15.2	20.7
14.7	10	Yellow_Birch	Adult	23.5	19.6
13.32	15.2	Other	Adult	39.7	26.3
17.47	19.16	Sugar_Maple	Adult	38.3	29
15.64	28.04	Yellow_Birch	Adult	40.5	21.7
13.38	29.04	Sugar_Maple	Adult	31.3	23.1
11	26.38	Sugar_Maple	Adult	29	26
11.99	31.81	Sugar_Maple	Adult	37.1	25.9
18.38	39.34	Sugar_Maple	Adult	40.4	29
18.62	38.13	Sugar_Maple	Adult	29.3	24.4
10.39	47.19	Other	Adult	37.6	28.9
