X	Y	Species	Type	Diam	Height
1.3	1.78	Other	Adult	11.3	15
3.59	0.99	Other	Adult	24.8	20.6
1.81	2.35	Other	Adult	15.7	16.4
2.3	4.41	Other	Adult	15.1	15.1
2.12	5.29	Trembling_Aspen	Adult	14.8	17
1.01	9.31	Trembling_Aspen	Adult	17.6	14.5
1.82	9.34	Other	Adult	16.4	13.5
4.3	9.5	Other	Adult	11.9	15.7
5.09	9.86	Other	Adult	17.1	17.3
4.56	7.37	Other	Adult	18.1	17.9
5.38	7.4	Other	Adult	19.2	18
6.09	9.12	Other	Adult	12.7	14.6
9.3	9.9	Other	Adult	15.7	16.4
8.69	8.7	Other	Adult	14.6	15.1
5.38	6.05	Other	Adult	14.8	18
7.94	4.28	Other	Adult	16.6	16.3
6.1	3.82	Jack_Pine	Adult	27	18.7
8.25	2.07	Other	Adult	18.1	18.1
7.94	17.02	Other	Adult	17.3	17.7
6.76	17.18	Other	Adult	17.3	19.3
5.51	17.24	Other	Adult	12.1	15.3
5.08	17.73	Other	Adult	18.8	18.6
3.5	17.46	Other	Adult	16.8	15.7
0.06	18.07	Other	Adult	21	19
2.93	14.48	Other	Adult	13.1	15.9
3.86	14.26	Other	Adult	17.8	17.6
2.78	13.33	Other	Adult	10	14.2
4.26	11.74	Other	Adult	22.2	19.4
0.2	13.16	Other	Adult	22.8	18.1
1.04	12.57	Other	Adult	20.1	20
1.93	10.86	Other	Adult	10.6	13.8
0.98	20.94	Other	Adult	19.2	18.4
4.92	22.1	Paper_Birch	Adult	14.6	13.6
1.4	25.88	Other	Adult	18.8	17.9
3.97	29.1	Other	Adult	13.5	14.1
3.38	27.09	Other	Adult	12	14
4.34	27.15	Other	Adult	12.8	13.7
5.95	27.97	Other	Adult	16.4	17.8
4.89	26.01	Other	Adult	24.4	20.8
9.75	29.15	Other	Adult	18	18.1
9.79	26.98	Other	Adult	18.5	17.8
9.4	26.27	Other	Adult	14.7	15.2
8.95	24.64	Other	Adult	15.8	14.1
8.21	22.38	Other	Adult	16.6	17.8
5.96	20.7	Other	Adult	20.7	17.5
9.93	21.36	Other	Adult	12.1	14.1
9.56	20.6	Other	Adult	24.3	20.6
8.19	32.73	Other	Adult	24.2	20.9
9.76	35.45	Other	Adult	15.5	16.3
8.66	37.83	Other	Adult	20.5	19.2
6.22	38.89	Other	Adult	20.4	19
3.09	37.07	Other	Adult	19.8	19.7
2.85	37.64	Other	Adult	15.3	17.4
3.28	39.18	Other	Adult	19.5	19.9
1.57	38.61	Trembling_Aspen	Adult	15.7	16.1
0.24	39.3	Other	Adult	17	17.3
5.34	35.37	Other	Adult	17	17
1.24	32.71	Other	Adult	22.8	18.1
1.63	40.23	Other	Adult	13.4	13
2.57	42.11	Other	Adult	18.5	20.6
2.61	41.97	Other	Adult	12.5	14.9
3.13	41.78	Other	Adult	14	15.8
4.04	43.73	Other	Adult	21.5	20.5
0.57	43.96	Other	Adult	18.4	18.9
0.25	44.64	Other	Adult	15.7	16.2
2.06	45.64	Other	Adult	15.7	18.5
2.12	47.62	Other	Adult	14.2	16
0.15	46.66	Other	Adult	14.5	16.1
1.25	48.81	Other	Adult	17	15.5
