X	Y	Species	Type	Diam	Height
3.13	1.73	Other	Adult	17.1	15.5
5.62	1.52	Other	Adult	17.7	13.2
4.75	3.01	Other	Adult	17.1	18.5
5.11	3.22	Other	Adult	22.6	17.8
9.51	0.8	Other	Adult	24	19.8
8.59	4.13	Other	Adult	21.2	17.2
5.31	9.74	Other	Adult	33.6	17.5
3.68	5.6	Other	Adult	28.7	19
2.09	7.04	Other	Adult	19.8	15.5
3.35	12.03	Other	Adult	18.5	16.8
6.61	13.4	Other	Adult	16.6	16.5
6.85	14.32	Other	Adult	13.2	15
7.73	14.6	Other	Adult	12.8	16.8
9.99	17.6	Other	Adult	24.6	17
7.09	18.07	Other	Adult	22.6	18
6.17	17.64	Other	Adult	17.1	16.8
3.87	18.73	Other	Adult	27.9	20
3.2	17.73	Other	Adult	32.7	21.8
0.63	20.34	Other	Adult	25.7	19.5
2.63	20.96	Other	Adult	26.5	16.5
5.66	21.64	Other	Adult	18.4	14
8.9	20.86	Other	Adult	19.9	16.2
5.58	24.69	Other	Adult	28.4	19.5
3.02	23.99	Other	Adult	20.4	16
2.22	24.68	Other	Adult	13.8	10.8
1.4	24.65	Other	Adult	16.9	16.8
4.92	29.35	Other	Adult	24.4	18.5
3.32	28.14	Other	Adult	19.8	17.2
2.57	29.67	Other	Adult	15	14.5
1.77	29.49	Other	Adult	23.7	16.3
0.38	31.2	Other	Adult	16.7	13.9
1.43	30	Other	Adult	15.9	14
0.84	32.47	Other	Adult	16.4	15.4
0.98	32.96	Other	Adult	12.9	11.2
6.56	30.6	Other	Adult	20.5	13
4.77	38.87	Other	Adult	24.2	18.5
3.07	38.15	Other	Adult	15.9	17.3
1.93	37.29	Other	Adult	14.1	13.7
2.41	39.84	Other	Adult	14.5	15.8
1.07	43.66	Other	Adult	20.3	15.8
2.98	41.45	Other	Adult	19.1	18
3.57	42.9	Other	Adult	13.8	14.7
5.14	40.74	Other	Adult	18.7	17.5
6.69	41.55	Other	Adult	20.9	17.8
5.69	42.07	Other	Adult	13.5	16
6.91	43.8	Other	Adult	24.1	17.2
9.66	44.19	Other	Adult	19.1	17
8.09	49.09	Other	Adult	26.9	19.2
6.32	47.37	Other	Adult	18.5	17.3
4.96	45.69	Other	Adult	20.8	18
3.83	48.47	Other	Adult	20	17.1
2.58	47.47	Other	Adult	21.6	17.8
0.46	46.91	Other	Adult	17.5	15
10.24	2.88	Other	Adult	18.5	19.6
13.6	3.54	Other	Adult	22.3	18
18.93	2.71	Other	Adult	27.9	17
17.33	3.74	Other	Adult	16.8	14
17.5	8.23	Other	Adult	16.1	18.8
16.96	8.3	Other	Adult	16.6	18
17.52	9.5	Other	Adult	11.4	9.5
15.47	9.31	Other	Adult	22.1	18.5
13.61	9.49	Other	Adult	29.1	19.5
11.29	8.25	Other	Adult	19.4	17.5
11.67	11.28	Other	Adult	18.1	16
11.08	12.33	Other	Adult	27.2	18
10.3	14.87	Other	Adult	11	11.5
11.46	17.84	Other	Adult	12.7	8.8
16.78	17.98	Other	Adult	20.4	16.8
19.78	19.45	Other	Adult	20.8	15.2
17.57	14.68	Other	Adult	18.9	15.6
18.61	13.2	Other	Adult	10.8	11.8
16.79	13.4	Other	Adult	31.3	17.9
18.91	10.28	Other	Adult	18.3	13
13.78	24.42	Balsam_Fir	Adult	20.9	19
14.64	24.62	Other	Adult	26.1	17.5
10	26.36	Other	Adult	20.9	17.2
11.7	27.11	Other	Adult	12.8	12.5
18.12	28.66	Other	Adult	19.5	15
15.22	28.8	Other	Adult	29	17.8
12.19	33.53	Other	Adult	31.7	17
19.43	30.53	Other	Adult	26	18.5
19.01	32.51	Other	Adult	20	15.5
13.62	34.99	Other	Adult	16.7	14.5
13.6	35.88	Other	Adult	31.2	18.5
10.21	36.39	Paper_Birch	Adult	12.1	13
14.31	39.09	Other	Adult	23	18.1
13.33	41.3	Other	Adult	17.8	15.5
12.41	42.42	Other	Adult	23.9	16.5
19.66	42.75	Other	Adult	22.9	12
16.14	44.04	Other	Adult	14.6	13.8
13.18	44.53	Other	Adult	16.1	14.8
11.79	44.81	Other	Adult	13.4	14
10.53	46.51	Balsam_Fir	Adult	17.1	15.3
14.09	46.3	Other	Adult	15.2	15.6
