X	Y	Species	Type	Diam	Height
3.07	5.23	Sugar_Maple	Adult	27.5	20.8
0.42	7.95	Red_Maple	Adult	37	21.7
6.39	8.24	Red_Maple	Adult	27.3	22.9
9.33	2.72	Sugar_Maple	Adult	27.4	20.1
9.13	17.11	Sugar_Maple	Adult	10.2	10.3
9.32	17.31	Sugar_Maple	Adult	34.1	19.5
1.94	19.55	Sugar_Maple	Adult	14	11.8
1.81	11.53	Other	Adult	52.2	21.9
4.84	25.65	Red_Maple	Adult	29.7	19
1.28	25.77	Sugar_Maple	Adult	24	20.2
2.58	26.91	Sugar_Maple	Adult	22.4	21.1
8.86	20.35	Sugar_Maple	Adult	31.3	22
8.78	37.23	Sugar_Maple	Adult	34.4	19.4
2.04	36.4	Other	Adult	14.9	13.6
1.28	32.32	Other	Adult	10.4	9.7
3.33	30.79	Sugar_Maple	Adult	29.2	21.4
3.21	42.18	Sugar_Maple	Adult	11.4	11.8
3.32	45.21	Sugar_Maple	Adult	10.8	12.5
1.85	49.73	Red_Maple	Adult	51.3	23
14.34	1.24	Red_Maple	Adult	37	23.6
13.51	2.02	Yellow_Birch	Adult	19.5	18.3
13.52	2.25	Yellow_Birch	Adult	18.2	13
12.04	6.77	Yellow_Birch	Adult	45	24.2
18.33	6.18	Sugar_Maple	Adult	36.2	20
14.54	13.61	Sugar_Maple	Adult	25	18.8
17.83	13.04	Sugar_Maple	Adult	10.3	14.8
17.53	18.53	Other	Adult	54.3	22.6
10.25	12.63	Sugar_Maple	Adult	13.3	5.5
10.15	24.28	Sugar_Maple	Adult	44.2	23.9
19.73	27.4	Sugar_Maple	Adult	29.2	19.9
16.76	26.23	Sugar_Maple	Adult	30.8	20.5
18.38	31.77	Yellow_Birch	Adult	35.1	21.5
16.72	37.71	Other	Adult	12.6	11
17.87	38.52	Red_Maple	Adult	33	23
13.46	34.95	Red_Maple	Adult	44.8	22.1
14.2	34.43	Red_Maple	Adult	42.9	23.8
10.42	31.5	Other	Adult	45.4	21.8
12.98	40.65	Other	Adult	11.1	10.9
16.01	49.57	Red_Maple	Adult	25.7	15.1
15.71	46.82	Other	Adult	35.5	20.8
22.98	0.65	Sugar_Maple	Adult	25.2	20.8
20.62	6.83	Red_Maple	Adult	36.6	24
28.09	8.38	Sugar_Maple	Adult	30.2	19.7
28.65	5.09	Sugar_Maple	Adult	20.1	20.9
22.87	18.04	Red_Maple	Adult	22.4	20.5
22.12	20.37	Red_Maple	Adult	19.9	19.6
22.81	25	Other	Adult	26.9	22.4
29.44	21.33	Sugar_Maple	Adult	13.7	16
26.9	30.81	Sugar_Maple	Adult	14.8	14.7
24.38	31.42	Sugar_Maple	Adult	13.5	8.8
25.76	35.69	Sugar_Maple	Adult	21.1	16.4
27.4	39.93	Sugar_Maple	Adult	12	9
21.83	36.26	Other	Adult	26.1	18.6
25.59	47.8	Sugar_Maple	Adult	37.8	22
31.18	0.7	Sugar_Maple	Adult	12.2	16.2
33.86	4.48	Sugar_Maple	Adult	14.8	17
31.04	3.52	Sugar_Maple	Adult	10.9	13.3
30.47	8.7	Sugar_Maple	Adult	11.2	6
34.05	8.53	Sugar_Maple	Adult	29.1	23
33.92	7.8	Sugar_Maple	Adult	10.9	12.1
39.09	6.3	Sugar_Maple	Adult	11.4	14.3
34.41	11.38	Sugar_Maple	Adult	30.2	19.2
36.54	17.57	Sugar_Maple	Adult	24.7	20.6
38.34	19.71	Sugar_Maple	Adult	28.2	21.7
34.55	19.25	Sugar_Maple	Adult	34.7	22.2
30.17	18.52	Red_Maple	Adult	28.8	17.9
31.65	17.02	Sugar_Maple	Adult	20.6	19.7
31.2	14.86	Sugar_Maple	Adult	29.6	19.8
32.01	23.92	Sugar_Maple	Adult	15.8	16.4
33.58	24.93	Sugar_Maple	Adult	19.2	16.8
31.42	29.94	Other	Adult	20.5	16.4
