X	Y	Species	Type	Diam	Height
0.98	1	Jack_Pine	Adult	10.3	12
1.75	1.74	Other	Adult	12.4	11.9
3.88	4.08	Other	Adult	16.7	14.1
4.32	4.83	Other	Adult	10.2	11.8
4.53	5.34	Other	Adult	10.2	8.7
3.83	5.7	Jack_Pine	Adult	11.2	12.7
1.45	4.42	Other	Adult	12.6	11.4
0.21	6.22	Other	Adult	18.4	14.5
2.06	8.35	Jack_Pine	Adult	13.6	11.7
3.74	6.77	Other	Adult	15.7	14.9
4.3	6.51	Jack_Pine	Adult	12.3	12.7
4.53	8.47	Other	Adult	13.5	13
7.95	8.1	Jack_Pine	Adult	10.1	12
8.65	8.39	Other	Adult	11.1	8.6
7.33	2.79	Other	Adult	15.3	15
7.64	2.11	Jack_Pine	Adult	12.9	13.4
6.41	1.46	Jack_Pine	Adult	10.4	11.3
5.41	1.56	Other	Adult	10.9	11.4
6.74	10.3	Other	Adult	10.2	9.6
5.94	10.31	Other	Adult	15.4	12.2
7.46	11.05	Other	Adult	13.5	12.7
9.61	13.11	Other	Adult	11.3	10.6
9.68	14.06	Other	Adult	12	11.3
8.95	14	Other	Adult	10.7	11.6
8.81	13.71	Other	Adult	12.6	12
6.31	13.37	Jack_Pine	Adult	11.6	11.4
5.74	15.1	Jack_Pine	Adult	10.3	11.8
6.01	15.94	Jack_Pine	Adult	12.5	12.6
6.49	15.49	Jack_Pine	Adult	14.9	12.9
9.26	15.37	Jack_Pine	Adult	11.9	12.3
9.51	16.31	Other	Adult	11.8	8
6.04	19.67	Other	Adult	10.8	10.9
4.56	18.1	Jack_Pine	Adult	12.5	11.2
4.18	18.19	Other	Adult	13	13.7
2.86	19.58	Jack_Pine	Adult	11.9	12.6
2.86	19.08	Jack_Pine	Adult	10.3	12.3
1.51	19.58	Jack_Pine	Adult	11	12.3
0.1	19.14	Other	Adult	13.4	11.2
0.77	16.64	Other	Adult	12.4	10.9
0.51	15.79	Other	Adult	11.4	11.4
4.5	16.58	Other	Adult	10.7	11.2
4.83	15.3	Other	Adult	14.7	10.2
0.66	14.45	Jack_Pine	Adult	10.5	9.6
0.33	14.46	Jack_Pine	Adult	10	11.1
0.26	14.05	Other	Adult	11.2	9.2
1.95	13.83	Jack_Pine	Adult	11.4	11.2
3.61	12.61	Jack_Pine	Adult	10.2	10.6
0.05	20.19	Other	Adult	12.8	9.9
1.86	20.58	Jack_Pine	Adult	10.1	11.7
0.18	21.77	Jack_Pine	Adult	12.6	12.5
1.33	22	Other	Adult	19.5	14.6
4.13	22.67	Jack_Pine	Adult	13.6	12
3.79	23.84	Other	Adult	10.7	11
6.08	24.11	Jack_Pine	Adult	10.4	11.5
6.05	24.36	Other	Adult	13.9	12.8
4.61	25.83	Jack_Pine	Adult	11.5	10.9
3.24	24.98	Jack_Pine	Adult	10.8	11.4
0.6	26.54	Other	Adult	11.9	11.6
2.18	28.84	Jack_Pine	Adult	11.4	10.4
3.31	28.48	Other	Adult	13.4	12.3
5.22	27.09	Other	Adult	11.1	12.4
6.3	29.5	Jack_Pine	Adult	11	11.4
7.44	29.37	Other	Adult	10.8	11.9
8.32	29.54	Jack_Pine	Adult	10.5	11.9
9.48	29.15	Other	Adult	10.6	10.1
9.85	28.55	Jack_Pine	Adult	11.7	12.7
9.95	28.34	Other	Adult	10.7	10.4
6.31	26.06	Other	Adult	12.2	11.7
9.65	25.69	Jack_Pine	Adult	10	10.7
8.92	23.85	Jack_Pine	Adult	12.9	12.4
8.05	24.32	Other	Adult	10.3	10.2
8.4	23.51	Other	Adult	12.8	12.5
8.72	30.69	Other	Adult	13.3	13.1
4.18	30.94	Jack_Pine	Adult	10.1	11.5
7.94	34.9	Jack_Pine	Adult	22.6	11.5
9.87	34.85	Other	Adult	12.6	11.4
9.12	38.34	Other	Adult	12.4	11.6
4.59	38.35	Other	Adult	11.2	11.5
0.72	37.77	Other	Adult	12.3	12
3.11	35.31	Other	Adult	11.7	10.8
5.08	34.91	Other	Adult	11.4	12.1
4.5	33.65	Jack_Pine	Adult	17.9	11.9
2.36	30.54	Jack_Pine	Adult	11	9.9
3.15	41.19	Other	Adult	10	10.9
0.3	43.59	Jack_Pine	Adult	10.5	12.4
0.26	45.54	Other	Adult	10.7	9.9
0.58	45.71	Jack_Pine	Adult	11.5	12.2
2.89	45.88	Jack_Pine	Adult	10.1	11.4
4.54	43.78	Other	Adult	12.5	12.5
5.64	43.67	Other	Adult	11.6	11.3
7.7	45	Other	Adult	12.1	12.4
7.14	46.39	Jack_Pine	Adult	10.5	12.5
6.05	46.46	Jack_Pine	Adult	13.3	13.1
4.53	46.93	Jack_Pine	Adult	11.4	12.7
4.29	47.29	Other	Adult	10.8	12.9
2.84	47.98	Jack_Pine	Adult	10.9	12.7
2.48	48.96	Other	Adult	12.9	11.7
3.43	49.92	Other	Adult	11.1	11.8
3.45	49	Jack_Pine	Adult	13.8	14
4.03	49.48	Other	Adult	11.7	11.6
6.43	49.34	Other	Adult	10.8	11.4
6.56	49.93	Jack_Pine	Adult	12.2	13.5
7.82	49.31	Jack_Pine	Adult	10	11.7
8.69	48.42	Other	Adult	10.2	10.8
9.77	45.27	Other	Adult	12	12.5
9.33	44.65	Jack_Pine	Adult	11.8	13.5
8.71	45.79	Jack_Pine	Adult	10.4	11.1
7.97	47.87	Jack_Pine	Adult	11.2	12.3
9.23	42.99	Other	Adult	12.8	12.3
9.35	42.36	Other	Adult	14.3	13
7.56	40.43	Other	Adult	10.6	11.6
10.44	1.12	Other	Adult	14.2	13
11.39	0.65	Other	Adult	14.2	13.3
14.1	1.08	Jack_Pine	Adult	13.3	13
13.65	4.07	Other	Adult	14.7	14.1
14.76	4.86	Jack_Pine	Adult	10.7	12.7
14.83	5.3	Other	Adult	12.6	11.3
14.65	5.5	Jack_Pine	Adult	13.2	11.2
13.04	5.01	Other	Adult	12.2	12
13.09	7.05	Jack_Pine	Adult	11.3	8.3
10.14	8.5	Other	Adult	16.2	14.1
